DATE,INTERPOLATED,MA7_NUM_CRITICAL,MA7_NUM_CRITICAL_per_100kpop,MA7_NUM_DAILY_CRITICAL,MA7_NUM_DAILY_CRITICAL_per_100kpop,NUM_CRITICAL,NUM_CRITICAL_per_100kpop,NUM_DAILY_CRITICAL,NUM_DAILY_CRITICAL_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-05-09,0,2.4285714285714284,0.13021129152648145,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-10,0,2.571428571428571,0.13787077926333333,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-11,0,2.714285714285714,0.14553026700018518,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-12,0,2.8571428571428568,0.15318975473703703,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-13,0,3.0,0.16084924247388888,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-14,0,3.0,0.16084924247388888,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-15,0,3.0,0.16084924247388888,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-16,0,3.0,0.16084924247388888,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-17,0,3.0,0.16084924247388888,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-18,0,2.8571428571428568,0.15318975473703703,-0.14285714285714285,-0.007659487736851852,2.0,0.10723282831592593,-1.0,-0.05361641415796296,City of Manila,PH133900000,NCR
2020-05-19,0,2.8571428571428568,0.15318975473703703,0.0,0.0,3.0,0.16084924247388888,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-05-20,0,2.8571428571428568,0.15318975473703703,0.0,0.0,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
