DATE,INTERPOLATED,MA7_NUM_DAILY_SEVERE,MA7_NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE,MA7_NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE,NUM_DAILY_SEVERE_per_100kpop,NUM_SEVERE,NUM_SEVERE_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-12-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2021-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2021-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2021-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
